id,artist_name,start_year,popularity
1,Drake,2016,94
51,Drake,2016,94
2,Kendrick Lamar,2012,92
52,Kendrick Lamar,2012,92
3,Eminem,2000,91
53,Eminem,2000,91
4,Future,2017,90
5,Kanye West,2004,90
54,Future,2017,90
55,Kanye West,2004,90
6,21 Savage,2018,88
56,21 Savage,2018,88
7,Lil Baby,2017,86
8,$uicideboy$,2015,86
9,Gunna,2018,86
10,XXXTENTACION,2017,86
11,Playboi Carti,2017,86
57,Lil Baby,2017,86
58,$uicideboy$,2015,86
59,Gunna,2018,86
60,XXXTENTACION,2017,86
61,Playboi Carti,2017,86
12,Frank Ocean,2011,85
13,Daddy Yankee,2004,85
14,Nicki Minaj,2010,85
62,Frank Ocean,2011,85
63,Daddy Yankee,2004,85
64,Nicki Minaj,2010,85
15,J. Cole,2011,84
16,Lil Wayne,2008,84
17,Pitbull,2009,84
18,"Tyler, The Creator",2011,84
65,J. Cole,2011,84
66,Lil Wayne,2008,84
67,Pitbull,2009,84
68,"Tyler, The Creator",2011,84
19,Tommy Richman,2022,83
20,A$AP Rocky,2013,83
21,Lil Uzi Vert,2016,83
69,Tommy Richman,2022,83
70,A$AP Rocky,2013,83
71,Lil Uzi Vert,2016,83
22,Ty Dolla $ign,2014,82
23,50 Cent,2003,82
24,Lil Peep,2015,82
25,Young Thug,2016,82
26,JAY-Z,2004,82
72,Ty Dolla $ign,2014,82
73,Lil Peep,2015,82
74,50 Cent,2003,82
75,Young Thug,2016,82
76,JAY-Z,2004,82
27,Mac Miller,2010,81
28,Bryson Tiller,2015,81
29,Snoop Dogg,1992,81
77,Mac Miller,2010,81
78,Bryson Tiller,2015,81
79,Snoop Dogg,1992,81
30,Kodak Black,2015,80
31,Wiz Khalifa,2011,80
32,Lil Durk,2020,80
33,USHER,2001,80
80,Kodak Black,2015,80
81,Wiz Khalifa,2011,80
82,Lil Durk,2020,80
83,USHER,2001,80
34,The Kid LAROI,2020,79
35,Dr. Dre,1992,79
36,Tory Lanez,2015,79
37,Jack Harlow,2020,79
38,Childish Gambino,2011,79
39,Flo Rida,2008,79
84,The Kid LAROI,2020,79
85,Dr. Dre,1992,79
86,Tory Lanez,2015,79
87,Jack Harlow,2020,79
88,Childish Gambino,2011,79
89,Flo Rida,2008,79
40,BigXthaPlug,2021,78
41,Karan Aujla,2022,78
42,Pop Smoke,2019,78
43,Lil Yachty,2016,78
44,Offset,2017,78
45,2Pac,1993,78
46,Kid Cudi,2009,78
47,Jelly Roll,2020,78
90,BigXthaPlug,2021,78
91,Karan Aujla,2022,78
92,Pop Smoke,2019,78
93,Lil Yachty,2016,78
94,Offset,2017,78
95,2Pac,1993,78
96,Kid Cudi,2009,78
97,Jelly Roll,2020,78
48,DaBaby,2019,77
49,NF,2015,77
50,NLE Choppa,2019,77
98,DaBaby,2019,77
99,NF,2015,77
100,NLE Choppa,2019,77
